Name,Firm,Completeness %,Missing Count,Missing Fields,ID,Has Bio,Has Sectors,Has Stage,Has URL,Has LinkedIn,LinkedIn URL,Website URL
"ai Alexander Schmitt (Lsvp)","ai Alexander Schmitt (Lsvp)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",9d7d654b-1575-4e29-bcae-fb36fc8ff396,No,Yes,No,No,No,"",""
"ai Alexander Schmitt (Lsvp)","ai Alexander Schmitt (Lsvp)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",d253f524-0fe4-444e-a8b2-6a02bdc1c7e4,No,Yes,No,No,No,"",""
"ai Faraz Fatemi (Lsvp)","ai Faraz Fatemi (Lsvp)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",bb70d6a6-7b5e-4e2b-9ab4-5c89a8c3aabf,No,Yes,No,No,No,"",""
"Alex Walterspeiel","Alex Walterspeiel",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",34be41fe-9f08-4b59-b46a-4a1007f2dd64,No,Yes,No,No,No,"",""
"Alpin Yükseloğlu","Alpin Yükseloğlu",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",7e16a962-44d8-4546-9ce7-c67ae98a8b2e,No,Yes,No,No,No,"",""
"and advice for (Firstround)","and advice for (Firstround)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",fe2f43d4-4b02-41d5-aac8-037c2862aa44,No,Yes,No,No,No,"",""
"and advice for (Firstround)","and advice for (Firstround)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",a1c1364c-3a57-4efc-a6ab-a1efe4090118,No,Yes,No,No,No,"",""
"and capital","and capital",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",bc7aece8-24b8-4dfd-8a56-b48a41b9e2fb,No,Yes,No,No,No,"",""
"and DataEric FlaningamResearch (Felicis)","and DataEric FlaningamResearch (Felicis)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",ecc56933-4c4c-4e38-a9fa-359c5f260c0f,No,Yes,No,No,No,"",""
"Ari Nowacek","Ari Nowacek",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",05265f61-613a-4afb-a84c-26410770e8d4,No,Yes,No,No,No,"",""
"article Guillermo Rauch (Firstround)","article Guillermo Rauch (Firstround)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",071bc8a7-adfb-45dc-bc56-b3571f69e76e,No,Yes,No,No,No,"",""
"article Guillermo Rauch (Firstround)","article Guillermo Rauch (Firstround)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",c3e7cc21-9042-40a7-bcf4-4fc58cbbec7d,No,Yes,No,No,No,"",""
"as Managing (A16z)","as Managing (A16z)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",cdf7c1c3-f9a4-47eb-b0f2-3716e76f231f,No,Yes,No,No,No,"",""
"blockchain group","blockchain group",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",87b156f9-1a99-46ea-97e8-9bf3ad6111c8,No,Yes,No,No,No,"",""
"boldicorn Ed Sim (Boldstart)","boldicorn Ed Sim (Boldstart)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",a1fe7ed9-3d41-4062-aae3-64b595db4e41,No,Yes,No,No,No,"",""
"Bruce Sacerdote","Bruce Sacerdote",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",14d87f5b-b083-4c0c-8246-4cd9d254cc5a,No,Yes,No,No,No,"",""
"cost of capital","cost of capital",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",980079a9-5add-4cdf-973b-3d02556b1807,No,Yes,No,No,No,"",""
"cost of capital","cost of capital",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",c23cf42b-e77a-40d1-8044-a5f2028e377f,No,Yes,No,No,No,"",""
"Crispin Read","Crispin Read",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",ed13d527-d813-4e31-b614-a38c296e4983,No,Yes,No,No,No,"",""
"day ago PAI (Pehub)","day ago PAI (Pehub)",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",49810e1a-8477-4950-8bca-9515914037a6,No,Yes,No,No,No,"",""
"deal or fund","deal or fund",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",ac5ed5c9-0a28-4a67-8058-2242b1d93754,No,Yes,No,No,No,"",""
"Dennis Xu","Dennis Xu",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",13e2f466-27ab-4f11-bc98-e40208029257,No,Yes,No,No,No,"",""
"DesignVidhu PinnamarajuSenior Finance","DesignVidhu PinnamarajuSenior Finance",25,9,"bio; investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",5a405197-435e-42ea-b132-5982697e15d9,No,Yes,No,No,No,"",""
"Alex Stamos","Alex Stamos",30,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",3a8296b6-5751-4ed7-95e8-f635feafb1a9,No,Yes,Yes,No,No,"",""
"Angela Strange","Angela Strange",30,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",edeb34b2-38a0-4412-bbe9-4267570a3aa4,No,Yes,Yes,No,No,"",""
"boldicorn Ed Sim (Boldstart)","boldicorn Ed Sim (Boldstart)",30,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",6504d35e-195d-4767-8b8a-7b6bd307505b,No,Yes,Yes,No,No,"",""
"Caitlin Pomeranz","Caitlin Pomeranz",30,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",c0d987d4-e736-4eb7-8b1b-561315f9b066,No,Yes,Yes,No,No,"",""
"doubles down on (Pehub)","doubles down on (Pehub)",30,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",461736c4-4a62-4ed4-bc3a-58ee51625bd6,No,Yes,Yes,No,No,"",""
"A Little Background On Fusion Fund","A Little Background On Fusion Fund",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",38748f92-e134-4873-9e1e-3ea5929cda08,No,Yes,Yes,No,No,"",""
"and new investor Hitachi Ventures","and new investor Hitachi Ventures",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",6dc074ea-aa77-444f-a268-b1cebc88056b,No,Yes,Yes,No,No,"",""
"and Phoenix Fund","and Phoenix Fund",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",f66116e0-3922-41de-bd3b-d36eda0da7a6,No,Yes,Yes,No,No,"",""
"and Trust Ventures. In conjunction with the fund","and Trust Ventures. In conjunction with the fund",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",9d0188ed-c9c4-4774-a8b9-ec3ff690a931,No,Yes,Yes,No,No,"",""
"BlueWing Ventures","BlueWing Ventures",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",4acca6b7-4789-4748-8876-6c339038a18c,No,Yes,Yes,No,No,"",""
"BlueYard Capital","BlueYard Capital",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",aa64a73b-b86a-4018-bed9-280aaf205f6e,No,Yes,Yes,No,No,"",""
"Charlesbank Technology Opportunities Fund II","Charlesbank Technology Opportunities Fund II",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",5b40d211-d1d5-49fe-a2ec-afc81f85cad1,No,Yes,Yes,No,No,"",""
"Coinbase Ventures","Coinbase Ventures",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",03c9ad0b-3e4e-46d1-8d5a-7b5735419270,No,Yes,Yes,No,No,"",""
"current investors Foothill Ventures","current investors Foothill Ventures",31,8,"bio; investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",5b42eae7-5cdc-4ba9-8076-8c6e2d2233e0,No,Yes,Yes,No,No,"",""
"Aashay Sanghvi","Aashay Sanghvi",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",8aa62a84-4cbc-4c8d-a9cd-1a7494892587,Yes,Yes,No,No,No,"",""
"ai Alex Taussig (Lsvp)","ai Alex Taussig (Lsvp)",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",0a497cc7-28df-4b07-aca5-72738dbfda60,Yes,Yes,No,No,No,"",""
"Andy May Operating (Dcvc)","Andy May Operating (Dcvc)",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",cc42946e-2406-49e6-b28c-ad4e7ab960b5,Yes,Yes,No,No,No,"",""
"be in the (A16z)","be in the (A16z)",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",b58ebe99-ccfd-4f98-a1e4-457cca7d9ff8,Yes,Yes,No,No,No,"",""
"Building Cornerstones Every (Firstround)","Building Cornerstones Every (Firstround)",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",7780e102-9168-4038-9e38-e78198fd716d,Yes,Yes,No,No,No,"",""
