Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Arjun Balaji (Paradigm)","Paradigm",4a68248a-aa43-4317-a1ba-372624ddd0de,YES,YES,NO,"https://linkedin.com/in/arjun-balaji","Arjun Balaji is a partner at Paradigm. Crypto-native investor in DeFi and web3","technology","seed; series_a"
"Arjun Jain","Arjun Jain",d3d86473-922e-4322-ab3c-bd4b6571465e,YES,YES,YES,"https://linkedin.com/in/arjun-jain","Principal","SaaS; AI/ML","Seed; Series A"
"Arjun Jain (Nea)","New Enterprise Associates",662c6fc6-b033-4458-b4d7-f2373cda7cf4,YES,YES,NO,"https://linkedin.com/in/arjun-jain","Arjun Jain is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer; SaaS; HealthTech; FinTech","Seed; Series A; Series B; Growth"
"Arjun Sethi","Tribe Capital",2d30909c-0651-4f7d-bf1d-0ad940cb3755,YES,YES,YES,"https://linkedin.com/in/arjunsethi","Former partner at Social Capital. Invested in FTX, Carta, Lyft, Bumble, CTRL-labs.","fintech; saas; consumer; ai","seed; series_a; series_b"
"ARK","ARK",0afe8244-9054-4a0c-b792-90d3ae8fc542,YES,YES,YES,"https://www.ark-funds.com/?_gl=1*1wmmor4*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiA0KrJBhCOARIsAGIy9wA9ECvVDsNzVRGwxo0AZ9ojijjhW8LyeiRhuJCvDj_aj0LWt15QWvgaAnF3EALw_wcB&gbraid=0AAAAADoxXfLqmZX9NsUSvGwEBTm2Wa7CN","ARK aims to deliver long-term capital appreciation by investing in leaders, enablers, and beneficiaries of disruptive innovation, seeking to transform breakthrough research into actionable investment ","Next Generation Internet; Autonomous Technology And Robotics; Digital Assets And Fintech Innovation; Genomic Revolution; Space Exploration And Defense; Autonomous Technology and Robotics; Digital Assets and Fintech; Space Exploration and Defense","seed; series_a"
"Arlan Hamilton","Backstage Capital",c1bd9623-4584-4056-81ce-c2f681c0345d,YES,NO,YES,"https://linkedin.com/in/arlanhamilton","Invested in 200+ underrepresented founders. Author, speaker, advocate for diversity in VC.","saas; consumer; fintech; healthcare","pre_seed; seed"
"Armory Square Ventures","Armory Square Ventures",3f8abb39-0f35-4486-bab4-87c0e351fa46,YES,NO,YES,"https://linkedin.com/in/armory-square-ventures","Armory Square Ventures is a vc firm focused on Generalist, B2B Tech, SaaS investing at Seed and Seed+ stage.","Generalist; B2B Tech; SaaS; Enterprise; Marketplaces","Seed; Seed+; Late Seed"
"Arpan Shah","Arpan Shah",180c23ec-535d-48c3-a38b-7923e4492385,YES,YES,YES,"https://linkedin.com/in/arpan-shah","Partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Arpan Shah (Spark Capital)","Arpan Shah (Spark Capital)",a3458e3a-599b-4c74-ab19-dbbef147c4ef,YES,NO,YES,"https://linkedin.com/in/arpan-shah","Spark Capital is a venture firm that partners with exceptional founders. Invested in Twitter, Slack, Tumblr, and Wayfair.","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"article Christina Cacioppo (Firstround)","article Christina Cacioppo (Firstround)",4b431332-8618-4a4d-a6eb-e7fcee1c0eff,YES,YES,NO,"https://linkedin.com/in/article-christina-cacioppo","","AI; SaaS; Fintech","Seed; Series A"
"article David Hsu (Firstround)","article David Hsu (Firstround)",df36dc7e-d977-48a6-b9a6-677d25bfecc6,YES,YES,NO,"https://linkedin.com/in/article-david-hsu","","AI; SaaS; HealthTech","Seed; Series A"
"article David Hsu (Firstround)","article David Hsu (Firstround)",0ac5aca8-2d19-4cd5-a1e8-e5b6d7b8a0b0,YES,YES,NO,"https://linkedin.com/in/article-david-hsu","","AI; SaaS; HealthTech","Seed; Series A"
"article Dharmesh Shah (Firstround)","article Dharmesh Shah (Firstround)",36ff01ce-cceb-47d7-b2c0-3f3d3d496b19,YES,YES,NO,"https://linkedin.com/in/article-dharmesh-shah","","AI; SaaS; Healthtech","Seed; Series A"
"article Guillermo Rauch (Firstround)","article Guillermo Rauch (Firstround)",071bc8a7-adfb-45dc-bc56-b3571f69e76e,YES,YES,YES,"","","SaaS; AI/ML",""
"article Guillermo Rauch (Firstround)","article Guillermo Rauch (Firstround)",c3e7cc21-9042-40a7-bcf4-4fc58cbbec7d,YES,YES,YES,"","","SaaS; AI/ML",""
"Artiman Capital India (Pvt) Ltd.","Artiman Capital India (Pvt) Ltd.",f3a6cbff-ef75-4d26-93ef-e66dfce6bb33,YES,YES,NO,"https://linkedin.com/in/artiman-capital-india-pvt-ltd","Focuses on early-stage technology investments in India.","AI; SaaS; Fintech","Seed; Series A"
"Artiman Management LLC","Artiman Management LLC",b76bca39-1b82-4325-8fea-c1446be99d8c,YES,YES,YES,"https://linkedin.com/in/artiman-management-llc","A venture capital firm investing in early-stage technology and life sciences companies.","technology","seed; series_a"
"Artiman Ventures","Artiman Ventures",f5d59553-d1b3-4667-9cd0-176903ed31e8,YES,NO,NO,"https://linkedin.com/in/artiman-ventures","Focuses on early-stage Technology and Medtech investments.","AI; SaaS; Healthcare","Seed; Series A"
"as Managing (A16z)","as Managing (A16z)",cdf7c1c3-f9a4-47eb-b0f2-3716e76f231f,YES,YES,YES,"","","AI/ML; Crypto; SaaS",""
"Ascend Venture Capital","Ascend Venture Capital",94e3a347-57a5-4b91-b6c2-48d937398ad9,YES,YES,YES,"https://linkedin.com/in/ascend-venture-capital","","Enterprise Software; Minority Founders; Female Founders","Pre-Seed; Seed"
"Ash Fontana","Zetta Venture Partners",bea8cfa6-ed3b-49e3-a705-7e6943bcb1ee,YES,YES,NO,"https://linkedin.com/in/ashfontana","Author of ""The AI-First Company"". Invested in 50+ AI/ML startups.","AI/ML; SaaS; Fintech","seed; series_a"
"Ashley Cravens","Ashley Cravens",eed5bef0-f688-4377-8f0e-86472351a7f7,YES,YES,YES,"https://linkedin.com/in/ashley-cravens","Head of Operations and Platform at Uncorkcapital","SaaS; AI/ML","Seed; Series A"
"Ashley Cravens (Uncork Capital)","Ashley Cravens (Uncork Capital)",c6bcd675-2e0b-497d-8596-80aeb3bf5c17,YES,YES,YES,"https://linkedin.com/in/ashley-cravens","Head of Operations and Platform at Uncork Capital","AI/ML; API; SaaS","Seed"
"Assaf Rappaport","Assaf Rappaport",ef058c1c-0cfd-4531-b1f5-149a0b69533d,YES,YES,YES,"https://linkedin.com/in/assaf-rappaport","Technology entrepreneur","SaaS; AI/ML","Seed; Series A"
"Assistant Brett GibsonManaging (Initialized)","Initialized Capital",331b82fa-07a8-4609-ab0e-a13972e16ce8,YES,YES,NO,"https://linkedin.com/in/assistant-brett-gibsonmanaging","Assistant Brett GibsonManaging is a partner at Initialized Capital. Backs technical founders at pre-seed and seed","SaaS; Consumer; Developer Tools","Pre-Seed; Seed"
"Assistant Chris FralicBoard (Firstround)","Assistant Chris FralicBoard (Firstround)",d3304de9-0e9a-48e8-b03b-937994f9449a,YES,YES,YES,"https://linkedin.com/in/assistant-chris-fralicboard","","AI; SaaS; Consumer","Seed; Series A"
"Astasia Myers","Astasia Myers",2139e041-70ae-40e5-a607-13b1cd3695bb,YES,YES,YES,"https://linkedin.com/in/astasia-myers","General Partner at Felicis","SaaS; Consumer; Fintech","Seed; Series A"
"Astasia Myers (Felicis)","Astasia Myers (Felicis)",1b0d1810-5deb-4acf-b33e-ce5b2a711ded,YES,YES,YES,"https://linkedin.com/in/astasia-myers","General Partner","SaaS; Consumer; Fintech","Seed; Series A"
"Astasia MyersGeneral (Felicis)","Astasia MyersGeneral (Felicis)",60d7fd88-0acb-4100-90e9-11eac286e8cd,YES,YES,YES,"https://linkedin.com/in/astasia-myersgeneral","","SaaS; Consumer; Fintech","Seed; Series A"
"Astorg","Astorg",fe94faa4-56f1-4568-94d5-b96efc18b46b,YES,YES,YES,"https://linkedin.com/in/astorg","Private equity firm involved in employee equity situation with IQ-EQ","SaaS; AI/ML","Seed; Series A"
"at Evercore (Panteracapital)","at Evercore (Panteracapital)",4d44821d-d72e-43c5-a1f1-594787dc0508,YES,YES,YES,"https://linkedin.com/in/at-evercore","","SaaS; AI/ML","Seed; Series A"
"at Evercore Partners","at Evercore Partners",0c7b3653-90ff-4514-abaf-3f37f34906da,YES,YES,NO,"https://linkedin.com/in/at-evercore-partners","","AI; SaaS; Fintech","Seed; Series A"
"at Evercore Partners","at Evercore Partners",cf022c62-2604-45d3-8a89-ffc3f259d3e4,YES,YES,NO,"https://linkedin.com/in/at-evercore-partners","","AI; SaaS; Healthcare","Seed; Series A"
"at Hitchwood Capital","at Hitchwood Capital",4648e454-6b21-4b39-8746-b522c83492ff,YES,YES,NO,"https://linkedin.com/in/at-hitchwood-capital","","AI; SaaS; Fintech","Seed; Series A"
"at Hitchwood Capital","at Hitchwood Capital",50f08564-e52f-46f2-a9b7-256522b8cb0c,YES,YES,NO,"https://linkedin.com/in/at-hitchwood-capital","","AI; SaaS; HealthTech","Seed; Series A"
"at Pantera Capital","at Pantera Capital",678a52d1-a8fd-4563-a80f-645ed98751cb,YES,YES,NO,"https://linkedin.com/in/at-pantera-capital","","Blockchain; Cryptocurrency; DeFi","Seed; Series A"
"at Strategic Value (Panteracapital)","at Strategic Value (Panteracapital)",12ad9760-526c-4116-94b0-6f38c58d7a97,YES,YES,YES,"https://linkedin.com/in/at-strategic-value","","SaaS; AI/ML","Seed; Series A"
"at Tiger Management","Tiger Global",77961df4-7e90-4edb-a0f8-eb57f07a699f,YES,YES,NO,"https://linkedin.com/in/at-tiger-management","at Tiger Management is a partner at Tiger Global. High-velocity investing at growth stages","AI; SaaS; Fintech","Seed; Series A"
"Atlas Unlimited for (Bvp)","Atlas Unlimited for (Bvp)",336af6e0-e534-49e1-8c9a-d71fa0d3753e,YES,NO,NO,"https://linkedin.com/in/atlas-unlimited-for","Atlas Unlimited for is an investor at Bvp focused on AI, SaaS, Cloud Computing investing at Seed and Series A stage.","AI; SaaS; Cloud Computing","Seed; Series A"
